Name,Email,Financial Status,Paid at,Fulfillment Status,Fulfilled at,Accepts Marketing,Currency,Subtotal,Shipping,Taxes,Total,Discount Code,Discount Amount,Shipping Method,Created at,Lineitem quantity,Lineitem name,Lineitem price,Lineitem compare at price,Lineitem sku,Lineitem requires shipping,Lineitem taxable,Lineitem fulfillment status,Billing Name,Billing Street,Billing Address1,Billing Address2,Billing Company,Billing City,Billing Zip,Billing Province,Billing Country,Billing Phone,Shipping Name,Shipping Street,Shipping Address1,Shipping Address2,Shipping Company,Shipping City,Shipping Zip,Shipping Province,Shipping Country,Shipping Phone,Notes,Note Attributes,Cancelled at,Payment Method,Payment Reference,Refunded Amount,Vendor,Id,Tags,Risk Level,Source,Lineitem discount,Tax 1 Name,Tax 1 Value,Tax 2 Name,Tax 2 Value,Tax 3 Name,Tax 3 Value,Tax 4 Name,Tax 4 Value,Tax 5 Name,Tax 5 Value,Phone,Receipt Number,Duties,Billing Province Name,Shipping Province Name,Payment ID,Payment Terms Name,Next Payment Due At,Payment References
#1001,khairnartech@gmail.com,paid,2021-09-27 16:59:13 +0530,fulfilled,2021-09-27 17:16:24 +0530,yes,INR,500.00,0.00,90.00,590.00,"",0.00,Standard,2021-09-27 16:59:12 +0530,1,T Shirt - M,500.00,,KR_T1,true,true,fulfilled,Khairnar Technologies,"Khairnar Technologies Pvt Ltd, Level 5 Cohive Coworks Opp Vandevi Mandir Karvenagar Pune",Khairnar Technologies Pvt Ltd,Level 5 Cohive Coworks Opp Vandevi Mandir Karvenagar Pune,,Pune,'411052,MH,IN,,Khairnar Technologies,"Khairnar Technologies Pvt Ltd, Level 5 Cohive Coworks Opp Vandevi Mandir Karvenagar Pune",Khairnar Technologies Pvt Ltd,Level 5 Cohive Coworks Opp Vandevi Mandir Karvenagar Pune,,Pune,'411052,MH,IN,,,"",,(for testing) Bogus Gateway,c29167020376291.1,0.00,kwiqreply,3864840012003,"",Low,web,0.00,IGST 18%,90.00,,,,,,,,,,,,Maharashtra,Maharashtra,c29167020376291.1,,,c29167020376291.1
#1002,krishikhairnar@gmail.com,paid,2021-09-27 18:37:28 +0530,fulfilled,2021-10-04 12:29:42 +0530,no,INR,500.00,0.00,90.00,590.00,"",0.00,Standard,2021-09-27 18:37:27 +0530,1,T Shirt - M,500.00,,KR_T1,true,true,fulfilled,Krish Khairnar,"Khairnar Technologies Pvt Ltd, Level 5 Cohive Coworks Opp Vandevi Mandir Karvenagar Pune",Khairnar Technologies Pvt Ltd,Level 5 Cohive Coworks Opp Vandevi Mandir Karvenagar Pune,,Pune,'411052,MH,IN,,Krish Khairnar,"Khairnar Technologies Pvt Ltd, Level 5 Cohive Coworks Opp Vandevi Mandir Karvenagar Pune",Khairnar Technologies Pvt Ltd,Level 5 Cohive Coworks Opp Vandevi Mandir Karvenagar Pune,,Pune,'411052,MH,IN,,,"",,(for testing) Bogus Gateway,c29167046164707.2,0.00,kwiqreply,3864842404067,"",Low,web,0.00,IGST 18%,90.00,,,,,,,,,,,,Maharashtra,Maharashtra,c29167046164707.2,,,c29167046164707.1 + c29167046164707.2
#1003,khairnartech@gmail.com,paid,2021-09-28 17:20:42 +0530,fulfilled,2021-10-04 12:29:42 +0530,yes,INR,500.00,0.00,90.00,590.00,"",0.00,Standard,2021-09-28 17:20:41 +0530,1,T Shirt - M,500.00,,KR_T1,true,true,fulfilled,Khairnar Technologies,"Khairnar Technologies Pvt Ltd, Level 5 Cohive Coworks Opp Vandevi Mandir Karvenagar Pune",Khairnar Technologies Pvt Ltd,Level 5 Cohive Coworks Opp Vandevi Mandir Karvenagar Pune,,Pune,'411052,MH,IN,,Khairnar Technologies,"Khairnar Technologies Pvt Ltd, Level 5 Cohive Coworks Opp Vandevi Mandir Karvenagar Pune",Khairnar Technologies Pvt Ltd,Level 5 Cohive Coworks Opp Vandevi Mandir Karvenagar Pune,,Pune,'411052,MH,IN,,,"",,(for testing) Bogus Gateway,c29167190802659.1,0.00,kwiqreply,3864853676259,"",Low,web,0.00,IGST 18%,90.00,,,,,,,,,,,,Maharashtra,Maharashtra,c29167190802659.1,,,c29167190802659.1
#1004,khairnartech@gmail.com,paid,2021-09-28 17:22:09 +0530,fulfilled,2021-10-04 12:29:43 +0530,no,INR,500.00,0.00,90.00,590.00,"",0.00,Standard,2021-09-28 17:22:08 +0530,1,T Shirt - xxl,500.00,,KR_T4,true,true,fulfilled,Khairnar Technologies,"Khairnar Technologies Pvt Ltd, Level 5 Cohive Coworks Opp Vandevi Mandir Karvenagar Pune",Khairnar Technologies Pvt Ltd,Level 5 Cohive Coworks Opp Vandevi Mandir Karvenagar Pune,,Pune,'411052,MH,IN,,Khairnar Technologies,"Khairnar Technologies Pvt Ltd, Level 5 Cohive Coworks Opp Vandevi Mandir Karvenagar Pune",Khairnar Technologies Pvt Ltd,Level 5 Cohive Coworks Opp Vandevi Mandir Karvenagar Pune,,Pune,'411052,MH,IN,,,"",,(for testing) Bogus Gateway,c29167191195875.1,0.00,kwiqreply,3864853709027,"",Low,web,0.00,IGST 18%,90.00,,,,,,,,,,,,Maharashtra,Maharashtra,c29167191195875.1,,,c29167191195875.1
#1005,khairnartech@gmail.com,paid,2021-09-28 17:25:06 +0530,fulfilled,2021-10-04 12:29:43 +0530,no,INR,500.00,0.00,90.00,590.00,"",0.00,Standard,2021-09-28 17:25:05 +0530,1,T Shirt - M,500.00,,KR_T1,true,true,fulfilled,Khairnar Technologies,"Khairnar Technologies Pvt Ltd, Level 5 Cohive Coworks Opp Vandevi Mandir Karvenagar Pune",Khairnar Technologies Pvt Ltd,Level 5 Cohive Coworks Opp Vandevi Mandir Karvenagar Pune,,Pune,'411052,MH,IN,,Khairnar Technologies,"Khairnar Technologies Pvt Ltd, Level 5 Cohive Coworks Opp Vandevi Mandir Karvenagar Pune",Khairnar Technologies Pvt Ltd,Level 5 Cohive Coworks Opp Vandevi Mandir Karvenagar Pune,,Pune,'411052,MH,IN,,,"",,(for testing) Bogus Gateway,c29167191425251.1,0.00,kwiqreply,3864853741795,"",Low,web,0.00,IGST 18%,90.00,,,,,,,,,,,,Maharashtra,Maharashtra,c29167191425251.1,,,c29167191425251.1
#1006,khairnartech@gmail.com,paid,2021-09-28 17:29:26 +0530,fulfilled,2021-10-04 12:29:44 +0530,yes,INR,500.00,0.00,90.00,590.00,"",0.00,Standard,2021-09-28 17:29:25 +0530,1,T Shirt - M,500.00,,KR_T1,true,true,fulfilled,Khairnar Technologies,"Khairnar Technologies Pvt Ltd, Level 5 Cohive Coworks Opp Vandevi Mandir Karvenagar Pune",Khairnar Technologies Pvt Ltd,Level 5 Cohive Coworks Opp Vandevi Mandir Karvenagar Pune,,Pune,'411052,MH,IN,,Khairnar Technologies,"Khairnar Technologies Pvt Ltd, Level 5 Cohive Coworks Opp Vandevi Mandir Karvenagar Pune",Khairnar Technologies Pvt Ltd,Level 5 Cohive Coworks Opp Vandevi Mandir Karvenagar Pune,,Pune,'411052,MH,IN,,,"",,(for testing) Bogus Gateway,c29167191621859.1,0.00,kwiqreply,3864853774563,"",Low,web,0.00,IGST 18%,90.00,,,,,,,,,+917028987266,,,Maharashtra,Maharashtra,c29167191621859.1,,,c29167191621859.1
#1007,shubham.gupta@kwiqreply.io,paid,2021-09-29 17:45:44 +0530,fulfilled,2021-10-04 12:29:44 +0530,no,INR,500.00,0.00,90.00,590.00,"",0.00,Standard,2021-09-29 17:45:43 +0530,1,T Shirt - M,500.00,,KR_T1,true,true,fulfilled,Shubham Gupta,Viman Nagar,Viman Nagar,"",,Pune,'411014,MH,IN,,Shubham Gupta,Viman Nagar,Viman Nagar,"",,Pune,'411014,MH,IN,,,"",,(for testing) Bogus Gateway,c29167255486691.1,0.00,kwiqreply,3864859803875,"",Low,web,0.00,IGST 18%,90.00,,,,,,,,,,,,Maharashtra,Maharashtra,c29167255486691.1,,,c29167255486691.1
#1008,shubham.gupta@kwiqreply.io,paid,2021-09-29 18:13:52 +0530,fulfilled,2021-10-04 12:29:37 +0530,no,INR,500.00,0.00,90.00,590.00,"",0.00,Standard,2021-09-29 18:13:51 +0530,1,T Shirt - M,500.00,,KR_T1,true,true,fulfilled,Shubham Gupta,Viman Nagar,Viman Nagar,"",,Pune,'411014,MH,IN,,Shubham Gupta,Viman Nagar,Viman Nagar,"",,Pune,'411014,MH,IN,,,"",,(for testing) Bogus Gateway,c29167256338659.4,0.00,kwiqreply,3864859967715,"",Low,web,0.00,IGST 18%,90.00,,,,,,,,,,,,Maharashtra,Maharashtra,c29167256338659.4,,,c29167256338659.1 + c29167256338659.2 + c29167256338659.3 + c29167256338659.4
#1009,gshubham533@gmail.com,paid,2021-10-04 12:37:03 +0530,unfulfilled,,no,INR,500.00,0.00,90.00,590.00,"",0.00,Standard,2021-10-04 12:37:03 +0530,1,T Shirt - M,500.00,,KR_T1,true,true,pending,Shubham Gupta,"Sr. No. 45/4B house No. 236, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune","Sr. No. 45/4B house No. 236, Near samrat sports club chandan nagar pune",Near samrat sports club chandan nagar pune,,pune,'411014,MH,IN,,Shubham Gupta,"Sr. No. 45/4B house No. 236, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune","Sr. No. 45/4B house No. 236, Near samrat sports club chandan nagar pune",Near samrat sports club chandan nagar pune,,pune,'411014,MH,IN,,,"",,(for testing) Bogus Gateway,c29167814639843.1,0.00,kwiqreply,4320589283555,"",Low,web,0.00,IGST 18%,90.00,,,,,,,,,,,,Maharashtra,Maharashtra,c29167814639843.1,,,c29167814639843.1
#1010,gshubham533@gmail.com,paid,2021-10-04 12:44:41 +0530,unfulfilled,,no,INR,500.00,0.00,90.00,590.00,"",0.00,Standard,2021-10-04 12:44:40 +0530,1,T Shirt - M,500.00,,KR_T1,true,true,pending,Shubham Gupta,"Sr. No. 45/4B house No. 236, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune","Sr. No. 45/4B house No. 236, Near samrat sports club chandan nagar pune",Near samrat sports club chandan nagar pune,,pune,'411014,MH,IN,,Shubham Gupta,"Sr. No. 45/4B house No. 236, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune","Sr. No. 45/4B house No. 236, Near samrat sports club chandan nagar pune",Near samrat sports club chandan nagar pune,,pune,'411014,MH,IN,,,"",,(for testing) Bogus Gateway,c29167816016099.1,0.00,kwiqreply,4320589644003,"",Low,web,0.00,IGST 18%,90.00,,,,,,,,,,,,Maharashtra,Maharashtra,c29167816016099.1,,,c29167816016099.1
